,,,,,,,,,,,,,,,,,,,
,Picanto GT-Line,1248,MT,G,35,1350,4336,165/60 R14,"64,4/6000 (kW/rpm)",2385,3592 x  1595 x  1480,5,4X2,FF,-,5,4,CBU,Korea
,All New  Rio,1396,AT,G,43,1600,4375,185/65 R15,79/6300 (kW/rpm),2570,4045 x  1720 x  1455,5,4X2,FF,-,5,4,CBU,Korea
,All New  Rio,1396,MT,G,43,1600,4059,185/65 R15,79/6300 (kW/rpm),2570,4045 x  1720 x  1455,5,4X2,FF,-,5,4,CBU,Korea
,Seltos  EXP,1353,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea
,Seltos  EX,1353,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea
,Seltos  E,1353,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,Korea
,Sonet Premiere,1500,AT,G,55,1705,0,215/60 R17,140/6000,2610,4315 x  1800 x  1620,5,4X2,FF,7,5,4,CBU,India
MAZDA,Mazda 2 R AT IPM,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x  1695 x  1475,5,4X2,FF,-,5,4,CBU,Thailand
,Mazda 2 GT AT IPM,1498,AT,G,42.8,-,4147,195/45R16,103,2490,3913 x  1695 x  1475,5,4X2,FF,-,5,4,CBU,Thailand
,Mazda 2 Elite AT IPM,1498,AT,G,44,-,-,185/60R16,111,2570,4065 x  1695 x  1495,5,4X2,FF,-,5,4,CBU,Thailand
MORRIS GARAGE,ZS Excite,1498,AT,G,48,1258,-,205/60 R16,114,2585,4314 x  1809 x  1624,5,4X2,FF,4,5,4,CBU,Thailand
,ZS Ignite,1498,AT,G,48,1258,-,215/50 R17,114,2585,4314 x  1809 x  1624,5,4X2,FF,4,5,4,CBU,Thailand
,HS Excite,1490,AT,G,55,1510,-,215/60 R17,162,2720,4574 x  1876 x  1664,5,4X2,FF,7,5,4,CBU,Thailand
,HS Ignite,1490,AT,G,55,1510,-,235/50 R18,162,2720,4574 x  1876 x  1664,5,4X2,FF,7,5,4,CBU,Thailand
MINI,Cooper,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK
,Cooper,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,UK
,Cooper 5-Door,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK
,Cooper 5-Door,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,UK
,Cooper S 5-Door,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK
,Cooper Clubman,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,4,4,CBU,UK
,Cooper Cabrio / convertible,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CBU,UK
,Cooper Cabrio / convertible,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,2,4,CBU,UK
,Cooper Countryman,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
,Cooper Countryman,1499,AT,G,40,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
MITSUBISHI MOTORS,Mirage 1.2L GLX (4X2) MT,1200,MT,G,35,1280,3757,14x4 1/2J,77,2450,3710 X 1665 X 1500,5,4X2,FF,-,4,4,CBU,410
,Eclipse Cross,1499,AT,G,63,2100,-,225/55 R18,150,2670,4405 X 1805 X 1674,5,4X2,FF,-,4,4,CBU,411
,Xpander 1.5L Ultimate (4X2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,128
,Xpander 1.5L Sport (4X2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA
,Xpander 1.5L Sport (4X2) M/T,1499,MT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,0,4,4,CKD,INA
,Xpander 1.5L Exceed (4X2) A/T,1499,AT,G,45,1780,4375,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,INA
,Xpander 1.5L Exceed (4X2) M/T,1499,MT,G,45,1780,4812,205/55 R16,104,2775,4475 X 1750 X 1700,7,4X2,FF,-,4,4,CKD,18
,Xpander 1.5L GLS (4X2) A/T,1499,AT,G,45,1780,4812,185/65 R15,104,2775,4475 X 1750 X 1695,7,4X2,FF,0,4,4,CKD,INA
,Xpander 1.5L GLS (4X2) M/T,1499,MT,G,45,1780,4812,185/65 R15,104,2775,4475 X 1750 X 1695,7,4X2,FF,-,4,4,CKD,INA
,Xpander 1.5L GLX (4X2) M/T,1499,MT,G,45,1780,4812,185/65 R15,104,2775,4475 X 1750 X 1695,7,4X2,FF,-,4,4,CKD,INA
,Xpander Cross  1.5L PREMIUM (4X2) A/T,1499,AT,G,45,1840,4375,205/55 R17,105,2775,4500 X 1800 X 1750,7,4X2,FF,0,4,4,CKD,INA
,Xpander Cross  1.5L (4X2) A/T,1499,AT,G,45,1840,4375,205/55 R17,105,2775,4500 X 1800 X 1750,7,4X2,FF,0,4,4,CKD,INA
,Xpander Cross  1.5L (4X2) M/T,1499,MT,G,45,1840,4812,205/55 R17,105,2775,4500 X 1800 X 1750,7,4X2,FF,0,4,4,CKD,INA
MERCEDES-BENZ - PC,A  200 Progressive ( W177),1332,AT,G,43,1885,7,225/45 R18,163,2729,"4,419 x  1,992 x  1,440",5,4X2,FF,-,5,4,CBU,-
,B 200 Progressive ( W247),1332,AT,G,43,1960,7,205/55 R17,163,2729,"4,419 x  2,020 x  1,562",5,4X2,FF,-,5,4,CBU,-
,GLA  200 Progressive Line ( H247),1332,AT,G,43,1885,7,225/45 R18,163,2729,"4,419 x  1,992 x  1,440",5,4X2,FF,-,5,4,CBU,-
,GLB 200 Progressive Line ( X247),1332,AT,G,43,1885,7,225/45 R18,163,2729,"4,419 x  1,992 x  1,440",5,4X2,FF,-,5,4,CBU,-
NISSAN,Livina E,1498,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
,Livina EL A/T,1498,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
,Livina EL M/T,1498,MT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
,Livina VE,1498,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
,Livina VL,1498,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
,KICKS E-POWER,1200,AT,HYBRID,-,-,-,-,-,-,-,-,4X2,-,-,-,-,CKD,INA
,Juke Revolt Grey  Interior (MY'14),1499,CVT,G,52,-,-,216 / 55 / R17,"115 / 6,000",2531,"4,135 x  1,765 x  1,566",-,4X2,-,-,5,4,CKD,INA
,Juke Revolt Red Interior (MY'14),1500,CVT,G,52,-,-,217 / 55 / R17,"116 / 6,000",2532,"4,135 x  1,765 x  1,567",-,4X2,-,-,5,4,CKD,INA
,Juke Revolt 2,1498,CVT,G,52,-,-,215 / 55 / R17,"114 / 6,000",2530,"4,135 x  1,765 x  1,565",-,4X2,-,-,5,4,CKD,INA
RENAULT,Kw id,1000,MT,G,28,1109,4,155/80 R13,68,2422,3679 x  1579 x  1478,5,4X2,FF,140,5,4,CBU,-
,Kw id Climber,1000,MT,G,28,1109,4,155/80 R13,68,2422,3679 x  1579 x  1478,5,4X2,FF,140,5,4,CBU,-
,New  Kw id,1000,MT,G,28,1109,4,155/80 R13,68,2422,3679 x  1579 x  1478,5,4X2,FF,140,5,4,CBU,-
,New  Kw id Climber,1000,AT,G,28,1109,-,-,-,-,-,5,4X2,FF,140,5,4,CBU,-
,Triber RXL MT,1000,MT,G,28,1109,0,-,0,0,-,7,4X2,FF,140,5,4,CBU,-
,Triber RXT MT,1000,MT,G,28,1109,0,-,0,0,-,7,4X2,FF,140,5,4,CBU,-
,Triber RXT AT,1000,AT,G,28,1109,0,-,0,0,-,7,4X2,FF,140,5,4,CBU,-
,Triber RXZ MT,1000,MT,G,28,1109,0,-,0,0,-,7,4X2,FF,140,5,4,CBU,-
,Triber RXZ AT,1000,AT,G,28,1109,0,-,0,0,-,7,4X2,FF,140,5,4,CBU,-
SUZUKI,Ignis  GL MT,1197,MT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India
,Ignis  GL AT,1197,AT,G,43,1430,4388,165/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India
,Ignis  GX MT,1197,MT,G,43,1430,4388,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India
,Ignis  GX AT,1197,AT,G,43,1430,4375,185/60 R15,85,2360,3715 X 1680 X 1618,5,4X2,FF,-,4,4,CBU,India
,All New  Ertiga 02 GA,1462,MT,G,45,1765,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA
,All New  Ertiga 02 GL MT,1462,MT,G,45,1765,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA
,All New  Ertiga 02 GX MT,1462,MT,G,45,1775,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA
,All New  Ertiga 02 GL AT,1462,AT,G,45,1775,4545,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA
,All New  Ertiga 02 GX AT,1462,AT,G,45,1765,4545,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA
,All New  Ertiga SS MT,1462,MT,G,45,1775,4687,185/65 R15,92,2740,4325 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA
,All New  Ertiga SS AT,1462,AT,G,45,1855,4687,185/65 R15,92,2740,4265 X 1695 X 1685,7,4X2,FF,-,4,4,CKD,INA
,XL-7 ZETA  MT,1462,MT,G,45,1720,4353,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA
,XL-7 ZETA  AT,1462,AT,G,45,1730,4375,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA
,XL-7 BETA  MT,1462,MT,G,45,1720,4353,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA
,XL-7 BETA  AT,1462,AT,G,45,1730,4375,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA
,XL-7 ALPHA  MT,1462,MT,G,45,1720,4353,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA
,XL-7 ALPHA  AT,1462,AT,G,45,1730,4375,195/65 R16,105,2740,4450 X 1775 X 1710,7,4X2,FF,-,4,4,CKD,INA
,New  Baleno,1490,MT,G,-,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India
,New  Baleno AT,1490,AT,G,-,1650,-,195/55 R15,110,2480,4350 X 1690 X 1545,5,4X2,FF,-,4,4,CBU,India
,New  SX4 S-Cros,1490,MT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India
,New  SX4 S-Cros  AT,1490,AT,G,48,1670,-,205/60 R16,109,2600,4300 X 1765 X 1690,5,4X2,FF,-,4,4,CBU,India
,APV-GE,1495,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA
,APV-GL,1495,MT,G,46,1950,4300,185/80 R14,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA
,APV-GX,1495,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA
,APV-GX AT,1495,AT,G,46,1950,5375,195/65 R15,105,2625,4225 X 1655 X 1855,8,4X2,FR,-,5,4,CKD,INA
,APV  SGX,1495,MT,G,46,1950,4300,195/65 R15,105,2625,4225 X 1655 X 1855,7,4X2,FR,-,5,4,CKD,INA
TOYOTA,All New  Avanza 1.3 E A/T BMC 2015,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,All New  Avanza 1.3 G BMC 2015,1298,MT,G,45,1085,5125,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,All New  Avanza 1.3 G A/T BMC 2015,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,All New  Avanza Veloz  1.3 BMC 2015,1329,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA
,All New  Avanza Veloz  1.3 A/T BMC 2015,1329,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,All New  Avanza Veloz  1.5 BMC 2015,1495,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,All New  Avanza Veloz  1.5 A/T BMC 2015,1495,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,Avanza 1.3 A/T Transmover,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,New  Avanza 1.3 E 2019,1298,MT,G,45,1085,5125,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,New  Avanza 1.3 E A/T 2019,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,New  Avanza 1.3 G 2019,1298,MT,G,45,1085,5125,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,New  Avanza 1.3 G A/T 2019,1298,AT,G,45,1085,5571,185/70R14,92 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,New  Avanza 1.5 G 2019,1495,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA
,New  Avanza Veloz  1.3 2019,1329,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,5,5,4,CKD,INA
,New  Avanza Veloz  1.3 A/T 2019,1329,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,New  Avanza Veloz  1.5 2019,1495,MT,G,45,1085,4875,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,New  Avanza Veloz  1.5 A/T 2019,1495,AT,G,45,1085,5125,185/65R15,104 / 6000,2655,4140X1660X1695,7,4X2,FR,4,5,4,CKD,INA
,Sienta G 1.5,1497,MT,G,-,-,-,185/60 R15,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA
,Sienta G 1.5 CVT,1497,AT,G,-,-,-,185/60 R15,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA
,Sienta V  1.5,1497,MT,G,-,-,-,195/50 R16,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA
,Sienta V  1.5 CVT,1497,AT,G,-,-,-,195/50 R16,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA
,Sienta Q 1.5 CVT,1497,AT,G,-,-,-,195/50 R16,107 / 6000,-,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA
,Sienta V  1.5 CVT Welcab,1497,A/T,G,-,-,-,195/50 R16,107 / 6000,0,4235X1695X1690,7,4X2,FR,5,5,4,CKD,INA
,New  Rush 1.5 S MT Mi TRD Sportivo Ultimo,1500,AT,G,45,1200,5857,235/60R16,109 / 6000,2685,4420X1745X1740,7,4X2,FR,-,5,4,CKD,INA
,New  Rush 1.5 S MT Mi TRD Sportivo Ultimo AT,1500,AT,G,45,1200,5857,235/60R16,109 / 6000,2685,4420X1745X1740,7,4X2,FR,-,5,4,CKD,INA
,ALL New  Rush 1.5 G,1496,MT,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA
,ALL New  Rush   1.5 G A/T,1496,AT,G,45,1200,5857,215/65R16,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA
,ALL New  Rush 1.5 TRD Sportivo,1496,MT,G,45,1200,5857,215/60R17,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA
,ALL New  Rush 1.5 TRD Sportivo A/T,1496,AT,G,45,1200,5857,215/60R17,104 / 6000,2685,4435X1695X1705,7,4X2,FR,4,5,4,CKD,INA
,All New Yaris  1.5   Haykers,1500,MT,G,42,1075,4237,195/50R16,109 / 6000,2550,4115X1700X1475,5,4X2,FF,-,5,4,CKD,INA
,All New Yaris  1.5   Haykers  AT,1500,AT,G,42,1075,4237,195/50R16,109 / 6000,2550,4115X1700X1475,5,4X2,FF,-,5,4,CKD,INA
,New  Yaris  1.5 E,1496,MT,G,42,1055,4058,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA
,New  Yaris  1.5 E CVT,1496,AT,G,42,1075,4237,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA
,New  Yaris  1.5 G,1496,MT,G,42,1055,4058,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA
,New  Yaris  1.5 G CVT,1496,AT,G,42,1075,4237,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA
,New  Yaris  1.5 TRD Sportivo,1496,MT,G,42,1055,4058,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA
,New  Yaris  1.5 TRD Sportivo CVT,1496,AT,G,42,1075,4237,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA
,New  Yaris  1.5 G 3 Airbag,1496,MT,G,42,1055,4058,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA
,New  Yaris  1.5 G 7 Airbag,1496,MT,G,42,1055,4058,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA
,New  Yaris  1.5 G CVT 3 Airbag,1496,AT,G,42,1075,4237,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA
,New  Yaris  1.5 G CVT 7 Airbag,1496,AT,G,42,1075,4237,185/60R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA
,New  Yaris  1.5 TRD 3 Airbag,1496,MT,G,42,1055,4058,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA
,New  Yaris  1.5 TRD 7 Airbag,1496,MT,G,42,1075,4237,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA
,New  Yaris  1.5 TRD CVT 3 Airbag,1496,AT,G,42,1055,4058,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,5,5,4,CKD,INA
,New  Yaris  1.5 TRD CVT 7 Airbag,1496,AT,G,42,1075,4237,195/50R16,107 / 6000,2550,4145X1730X1500,5,4X2,FF,4,5,4,CKD,INA
VOLKSWAGEN,Polo 1.2 GT TSI AT,1200,AT,G,-,-,-,-,-,-,-,5,4X2,FF,-,5,4,CBU,India
,Tiguan 1.4 AT,1400,AT,G,64,1510,3949,25/55/R17,150,2604,4426 x  1809 x  1703,-,4X2,FF,193,5,4,CBU,Germany
,Tiguan 1.4,1400,AT,G,64,1510,3949,25/55/R17,150,2604,4426 x  1809 x  1703,-,4X2,FF,193,5,4,CKD,INA
,Tiguan Allspace 1.4 TSI AT,1400,AT,G,64,1510,3949,25/55/R17,150,2604,4426 x  1809 x  1703,-,4X2,FF,193,5,4,CKD,INA
,T o u r a n,1400,AT,G,-,1568,-,-,-,-,-,-,4X2,FF,-,5,4,CKD,INA
WULING,Confero S 1.5,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4493X1691X1715,-,4X2,FR,-,5,4,CKD,INA
,Confero S 1.5C,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA
,Confero S 1.5L,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA
,Confero S 1.5L ACT,1500,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA
,Cortez  1.5C T MT,1500,MT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA
,Cortez  1.5C T CVT,1500,AT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA
,Cortez  1.5L T CVT,1500,AT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA
,Cortez  1.5L T CVT,1500,AT,G,52,-,4058,205/55 R16,129,2750,4780X1816X1755,-,4X2,FF,-,5,4,CKD,INA
,Formo 1.2 BV,1200,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA
,Formo 1.2,1200,MT,G,42,-,4.889,195/60 R15,107,2720,4530X1691X1730,-,4X2,FR,-,5,4,CKD,INA
,Almaz  1.5L,1500,MT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA
,Almaz  1.5E+ T CVT,1500,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA
,Almaz  1.5E T CVT,1500,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA
,Almaz  1.5SE T CVT,1500,AT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA
,Almaz  1.5SE T MT,1500,MT,G,-,-,-,-,-,-,-,-,4X2,FR,-,5,4,CKD,INA
TOTAL,,,,,,,,,,,,,,,,,,,
CUMULATIVE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
BRAND,MODEL/TYPE,CC,TRANS,FUEL,TANK CAPT,GVW (Kg),GEAR RATIO,WHEEL & TYRE SIZE,PS / HP,WHEEL BASE,"DIMENSI ON
P x L xT",SEATER,DRIVE SYS.,,SPEED,DOOR,WHEEL,CBU / CKD,ORIGIN COUNTRY
BMW,VL36 X1 sDrive18i,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA
,HS16 X1 SDRIVE18I,2000,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,4,4,CKD,INA
,JG16 X1 SDRIVE18I,2000,AT,G,51,2005,-,-,136,2670,4439 x  1821 x  1598,5,4X2,-,-,5,-,CKD,INA
,36AA  X1 SDRIVE18I,2000,AT,G,51,2005,-,-,136,2670,4439 x  1821 x  1598,5,4X2,FF,-,5,-,CKD,INA
,7L12 M135I XDRIVE,1998,AT,G,-,-,-,-,-,-,-,-,4X2,-,-,3,4,CBU,Germany
