BRAND,CC,HP,SEATER,DOOR
AUDI,1984,211,5,4
AUDI,1984,180,5,4
AUDI,2995,300,5,4
AUDI,4200,450,5,4
AUDI,1275,170,5,4
AUDI,1400,-,5,4
AUDI,2995,272,7,4
AUDI,2995,272,7,4
AUDI,1984,211,5,4
AUDI,1984,225,5,4
BMW,2000,-,-,5
BMW,2000,-,-,5
BMW,2000,-,-,5
BMW,2979,-,-,4
BMW,2979,-,-,-
BMW,1998,-,-,-
BMW,1997,-,-,2
BMW,2000,-,-,4
BMW,1998,-,-,0
BMW,2000,-,-,4
BMW,2000,-,-,4
BMW,2000,-,-,4
BMW,1998,-,-,-
BMW,1998,-,-,0
BMW,1998,-,-,0
BMW,2000,-,-,4
BMW,1998,-,-,4
BMW,1998,-,-,4
BMW,1998,-,-,4
BMW,2000,-,-,4
BMW,1998,-,-,0
BMW,3000,-,-,4
BMW,2000,-,-,5
BMW,1998,-,-,4
BMW,2998,-,-,-
BMW,2979,-,-,4
BMW,2998,-,-,4
BMW,2998,-,-,-
BMW,2993,-,-,4
BMW,4400,-,-,4
BMW,4400,-,-,4
BMW,4395,-,-,-
BMW,4400,-,-,4
BMW,4395,-,-,-
BMW,2993,-,-,4
BMW,1500,-,-,-
BMW,-,-,-,-
BMW,1499,-,-,-
BMW,2000,-,-,4
BMW,2000,-,-,4
BMW,2000,136,5,5
BMW,2000,136,5,5
BMW,1998,-,-,3
BMW,3000,-,-,4
BMW,2000,-,-,4
BMW,3000,-,-,4
BMW,3000,-,-,4
BMW,2993,-,-,0
BMW,2979,-,-,4
BMW,1998,-,-,-
BMW,2993,-,-,-
BMW,1998,-,-,-
BMW,2000,-,-,4
BMW,2998,-,-,-
BMW,2998,-,-,-
BMW,2000,-,-,4
BMW,2998,-,-,-
BMW,2998,-,-,4
BMW,2998,-,-,4
BMW,4400,-,-,4
BMW,4400,-,-,4
BMW,4395,-,-,-
CHEVROLET,1398,-,-,-
CHEVROLET,1400,-,-,-
CHEVROLET,1398,-,-,-
CHEVROLET,1800,-,-,-
CHEVROLET,2400,-,-,-
CHEVROLET,2000,-,-,-
CHEVROLET,2500,-,-,-
CHEVROLET,2500,-,-,-
CHEVROLET,2500,163,5,2
DAIHATSU,1329,97,7,5
DAIHATSU,1329,97,7,5
DAIHATSU,1329,97,7,5
DAIHATSU,1329,97,7,5
DAIHATSU,1496,104,7,5
DAIHATSU,1496,104,7,5
DAIHATSU,1298,90,5,5
DAIHATSU,1298,90,5,5
DAIHATSU,1298,90,5,5
DAIHATSU,1298,90,5,5
DAIHATSU,1298,88,2,5
DAIHATSU,1500,88,2,5
DAIHATSU,1298,88,8,5
DAIHATSU,1298,88,9,5
DAIHATSU,1495,88,9,5
DAIHATSU,1495,97,8,5
DAIHATSU,1495,97,8,5
DAIHATSU,1495,97,8,5
DAIHATSU,1496,104,7,5
DAIHATSU,1496,104,7,5
DAIHATSU,1496,104,7,5
DAIHATSU,1496,104,7,5
DAIHATSU,1496,104,7,5
DAIHATSU,1496,104,7,5
DAIHATSU,1298,88,3,2
DAIHATSU,1298,88,3,2
DAIHATSU,1298,88,3,2
DAIHATSU,1495,97,3,2
DAIHATSU,1495,97,3,2
DAIHATSU,998,65,5,5
DAIHATSU,998,65,5,5
DAIHATSU,998,65,5,5
DAIHATSU,998,65,5,5
DAIHATSU,998,65,5,5
DAIHATSU,998,65,5,5
DAIHATSU,998,65,5,5
DAIHATSU,998,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,1197,65,5,5
DAIHATSU,998,67,7,5
DAIHATSU,998,67,7,5
DAIHATSU,1197,88,7,5
DAIHATSU,1197,88,7,5
DAIHATSU,1197,88,7,5
DAIHATSU,1197,88,7,5
DATSUN,1198,0,5+3,-
DATSUN,1198,0,5+3,-
DATSUN,1198,0,5+3,-
DATSUN,1198,0,5+3,-
DATSUN,1198,0,5,-
DATSUN,1198,0,5,-
DATSUN,1198,0,5,-
DATSUN,1198,0,6,-
DATSUN,1198,0,5,-
DATSUN,1198,0,5,-
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,150,7,4
DFSK,1498,109,2,4
DFSK,1498,109,2,4
DFSK,1798,139,7,4
DFSK,1248,74,3,2
DFSK,1498,102,3,2
DFSK,1498,102,3,2
HONDA,1497,120,5,4
HONDA,1497,120,5,4
HONDA,1500,141,5,4
HONDA,1500,141,5,4
HONDA,2354,176,5,4
HONDA,1198,88,5,5
HONDA,1198,88,5,5
HONDA,1500,-,-,5
HONDA,1500,-,-,5
HONDA,1497,-,5,5
HONDA,1497,-,5,5
HONDA,1497,-,5,5
HONDA,1497,-,5,5
HONDA,1497,-,5,5
HONDA,1500,-,-,5
HONDA,1497,120,5,5
HONDA,1497,120,5,5
HONDA,1497,120,5,5
HONDA,1497,118,7,5
HONDA,1497,118,7,5
HONDA,1497,118,7,5
HONDA,1497,118,7,5
HONDA,1497,118,7,5
HONDA,1500,-,7,5
HONDA,1500,-,7,5
HONDA,1500,-,7,5
HONDA,1500,-,7,5
HONDA,2000,-,-,5
HONDA,1800,-,5,5
HONDA,2354,175,7,5
HONDA,1198,88,5,5
HONDA,1198,88,5,5
HONDA,1198,88,5,5
HYUNDAI - HIM,1400,-,-,4
HYUNDAI - HIM,-,-,5,4
HYUNDAI - HIM,2400,-,4,4
HYUNDAI - HIM,3800,-,4,4
HYUNDAI - HIM,1200,-,-,4
HYUNDAI - HIM,2000,-,5,4
HYUNDAI - HIM,2000,-,5,4
HYUNDAI - HIM,2000,-,5,4
HYUNDAI - HIM,2200,-,-,4
HYUNDAI - HIM,2400,-,-,4
HYUNDAI - HIM,2400,-,-,4
HYUNDAI - HIM,2500,-,-,4
HYUNDAI - HIM,2500,-,-,4
HYUNDAI - HIM,2400,-,10,4
HYUNDAI - HIM,2600,-,3,2
HYUNDAI - HIM,2600,-,3,2
HYUNDAI - HMID,-,-,5,5
HYUNDAI - HMID,-,-,5,5
HYUNDAI - HMID,2000,149,5,5
HYUNDAI - HMID,2000,149,5,5
HYUNDAI - HMID,-,-,5,5
HYUNDAI - HMID,2000,-,5,5
HYUNDAI - HMID,2400,172,5,5
HYUNDAI - HMID,2200,193,5,5
HYUNDAI - HMID,2200,193,5,5
HYUNDAI - HMID,2200,-,-,-
ISUZU,2499,80,7,5
ISUZU,2499,80,7,5
ISUZU,2499,80,7,5
ISUZU,2499,80,7,5
ISUZU,2499,-,7,5
ISUZU,2499,-,7,5
ISUZU,2499,-,7,5
ISUZU,2499,-,7,5
ISUZU,2499,-,-,2
ISUZU,2499,-,-,2
ISUZU,2499,80,3,2
ISUZU,2499,80,3,2
ISUZU,2499,80,3,2
ISUZU,2499,109,3,2
ISUZU,2499,109,5,4
ISUZU,2499,109,5,4
ISUZU,2999,136,5,4
KIA,1248,"64,4/6000 (kW/rpm)",5,5
KIA,1248,"64,4/6000 (kW/rpm)",5,5
KIA,1248,"64,4/6000 (kW/rpm)",5,5
KIA,1248,"64,4/6000 (kW/rpm)",5,5
KIA,1396,79/6300 (kW/rpm),5,5
KIA,1396,79/6300 (kW/rpm),5,5
KIA,1353,140/6000,5,5
KIA,1353,140/6000,5,5
KIA,1353,140/6000,5,5
KIA,1500,140/6000,5,5
KIA,2199,270/6400,11,5
KIA,3342,270/6400,11,5
KIA,2665,58.5/4.150 (kW/rpm),3,2
KIA,2665,58.5/4.150 (kW/rpm),3,2
LEXUS,2494,181 / 6000,4,4
LEXUS,2494,202 / 5700,4,4
LEXUS,3445,-,4,4
LEXUS,1998,235 / 4000,4,4
LEXUS,1998,235 / 4000,4,4
LEXUS,1998,235 / 4400,4,4
LEXUS,1998,235 / 4400,4,4
LEXUS,1998,235 / 4400,4,4
LEXUS,1998,235 / 4400,4,4
LEXUS,-,-,4,4
LEXUS,3500,-,4,4
LEXUS,4969,471 / 7100,2,2
LEXUS,3500,-,4,4
LEXUS,5663,383 / 5600,4,4
MAZDA,1999,160,2,4
MAZDA,1998,155,5,5
MAZDA,2488,187,5,4
MAZDA,2488,187,5,4
MAZDA,1498,103,5,5
MAZDA,1498,103,5,5
MAZDA,1498,111,5,5
MAZDA,1998,148,5,5
MAZDA,1998,148,5,5
MAZDA,2488,190,5,5
MAZDA,2488,190,5,5
MAZDA,2488,187,5,5
MAZDA,2488,190,5,5
MAZDA,1998,155,5,5
MAZDA,1998,155,5,5
MAZDA,1998,149,5,5
MAZDA,1998,149,5,5
MAZDA,2488,231,7,5
MAZDA,2488,231,7,5
MAZDA,2488,231,7,5
MAZDA,1998,155,5,5
MAZDA,2488,192,5,5
MAZDA,1997,151,7,5
MAZDA,2488,231,7,5
MERCEDES-BENZ - PC,1332,-,-,-
MERCEDES-BENZ - PC,1332,163,5,4
MERCEDES-BENZ - PC,1556,156,5,4
MERCEDES-BENZ - PC,1991,184,5,4
MERCEDES-BENZ - PC,1991,184,5,4
MERCEDES-BENZ - PC,1991,184,5,4
MERCEDES-BENZ - PC,1991,211,5,4
MERCEDES-BENZ - PC,1991,258,5,4
MERCEDES-BENZ - PC,1991,184,5,4
MERCEDES-BENZ - PC,1991,258,5,4
MERCEDES-BENZ - PC,1991,299,5,4
MERCEDES-BENZ - PC,2996,367,5,4
MERCEDES-BENZ - PC,1991,204,5,5
MERCEDES-BENZ - PC,1991,204,5,5
MERCEDES-BENZ - PC,1991,258,4,2
MERCEDES-BENZ - PC,1991,204,5,5
MERCEDES-BENZ - PC,1991,258,4,2
MERCEDES-BENZ - PC,1991,258,4,2
MERCEDES-BENZ - PC,3000,-,-,-
MERCEDES-BENZ - PC,1991,299,5,4
MERCEDES-BENZ - PC,3982,-,-,-
MERCEDES-BENZ - PC,3982,-,-,-
MERCEDES-BENZ - PC,3982,-,-,-
MERCEDES-BENZ - PC,3982,-,-,-
MERCEDES-BENZ - PC,3982,-,-,-
MERCEDES-BENZ - PC,3982,-,-,-
MERCEDES-BENZ - PC,1332,163,5,5
MERCEDES-BENZ - PC,1332,163,5,5
MERCEDES-BENZ - PC,1332,163,5,5
MERCEDES-BENZ - PC,1332,163,5,5
MERCEDES-BENZ - PC,2000,-,-,-
MERCEDES-BENZ - PC,1595,156,5,5
MERCEDES-BENZ - PC,1595,156,5,5
MERCEDES-BENZ - PC,1991,184,5,5
MERCEDES-BENZ - PC,1991,184,5,5
MERCEDES-BENZ - PC,1991,184,5,5
MERCEDES-BENZ - PC,2148,-,-,5
MERCEDES-BENZ - PC,3498,-,-,5
MERCEDES-BENZ - PC,2996,333,7,5
MERCEDES-BENZ - PC,2999,367,7,5
MERCEDES-BENZ - PC,2996,333,7,5
MERCEDES-BENZ - PC,2996,333,7,5
MERCEDES-BENZ - PC,2996,333,7,5
MERCEDES-BENZ - PC,2996,333,7,5
MERCEDES-BENZ - PC,1991,245,5,5
MERCEDES-BENZ - PC,2999,367,7,5
MERCEDES-BENZ - PC,2996,333,5,5
MERCEDES-BENZ - PC,2996,367,5,5
MERCEDES-BENZ - PC,3982,585,5,5
MINI,1499,-,-,-
MINI,1499,-,-,2
MINI,1499,-,-,-
MINI,1499,-,-,2
MINI,1499,-,-,-
MINI,1499,-,-,4
MINI,1499,-,-,-
MINI,1499,-,-,2
MINI,1499,-,-,-
MINI,1499,-,-,-
MINI,1998,-,-,2
MINI,1998,-,-,-
MINI,1998,-,-,2
MINI,1998,-,-,2
MINI,1998,-,-,4
MINI,1998,-,-,-
MINI,1998,-,-,-
MINI,1998,-,-,-
MINI,1998,-,-,-
MINI,1998,-,-,-
MINI,1998,-,-,5
MINI,1998,-,-,-
MINI,1998,-,-,-
MINI,1998,-,-,2
MINI,1998,-,-,3
MINI,1998,-,-,-
MINI,1998,-,-,-
MINI,1998,-,-,-
MINI,1998,-,-,-
MITSUBISHI MOTORS,1200,77,5,4
MITSUBISHI MOTORS,1499,150,5,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,104,7,4
MITSUBISHI MOTORS,1499,105,7,4
MITSUBISHI MOTORS,1499,105,7,4
MITSUBISHI MOTORS,1499,105,7,4
MITSUBISHI MOTORS,1998,150,5,4
MITSUBISHI MOTORS,1998,150,5,4
MITSUBISHI MOTORS,1998,150,5,4
MITSUBISHI MOTORS,1998,150,5,4
MITSUBISHI MOTORS,2442,181,7,4
MITSUBISHI MOTORS,2442,181,7,4
MITSUBISHI MOTORS,2477,178,7,4
MITSUBISHI MOTORS,2477,136,7,4
MITSUBISHI MOTORS,2477,136,7,4
MITSUBISHI MOTORS,2442,181,7,4
MITSUBISHI MOTORS,2442,181,7,4
MITSUBISHI MOTORS,2477,136,7,4
MITSUBISHI MOTORS,2477,136,7,4
MITSUBISHI MOTORS,2360,128,5,4
MITSUBISHI MOTORS,2500,74,3,2
MITSUBISHI MOTORS,2500,74,3,2
MITSUBISHI MOTORS,2500,74,3,2
MITSUBISHI MOTORS,2477,74,3,2
MITSUBISHI MOTORS,2477,178,5,4
MITSUBISHI MOTORS,2477,136,2,2
MITSUBISHI MOTORS,2477,136,2,2
MITSUBISHI MOTORS,2477,178,5,4
MITSUBISHI MOTORS,2477,178,5,4
MITSUBISHI MOTORS,2477,178,5,4
MITSUBISHI MOTORS,2477,178,5,4
MITSUBISHI MOTORS,2442,181,5,4
MITSUBISHI MOTORS,2477,178,5,4
MITSUBISHI MOTORS,2477,178,5,4
MORRIS GARAGE,1498,114,5,5
MORRIS GARAGE,1498,114,5,5
MORRIS GARAGE,1490,162,5,5
MORRIS GARAGE,1490,162,5,5
NISSAN,1498,-,-,-
NISSAN,1498,-,-,-
NISSAN,1498,-,-,-
NISSAN,1498,-,-,-
NISSAN,1498,-,-,-
NISSAN,1200,-,-,-
NISSAN,1499,"115 / 6,000",-,5
NISSAN,1500,"116 / 6,000",-,5
NISSAN,1498,"114 / 6,000",-,5
NISSAN,1998,-,-,5
NISSAN,1998,"147 / 5,600",-,5
NISSAN,2488,-,-,5
NISSAN,2500,-,5,5
NISSAN,2488,-,-,5
NISSAN,2488,-,-,5
NISSAN,2488,-,-,5
NISSAN,2488,-,-,5
NISSAN,2500,-,-,4
NISSAN,2500,-,-,4
NISSAN,2500,-,-,4
NISSAN,2500,-,-,4
PEUGEOT,1598,165,7,5
PEUGEOT,1598,156,7,5
PEUGEOT,1598,163,5,5
PEUGEOT,1598,163,5,5
RENAULT,1000,68,5,5
RENAULT,1000,68,5,5
RENAULT,1000,68,5,5
RENAULT,1000,-,5,5
RENAULT,1000,0,7,5
RENAULT,1000,0,7,5
RENAULT,1000,0,7,5
RENAULT,1000,0,7,5
RENAULT,1000,0,7,5
RENAULT,2500,170,5,5
RENAULT,2500,170,5,5
SUZUKI,1197,85,5,4
SUZUKI,1197,85,5,4
SUZUKI,1197,85,5,4
SUZUKI,1197,85,5,4
SUZUKI,1462,92,7,4
SUZUKI,1462,92,7,4
SUZUKI,1462,92,7,4
SUZUKI,1462,92,7,4
SUZUKI,1462,92,7,4
SUZUKI,1462,92,7,4
SUZUKI,1462,92,7,4
SUZUKI,1462,105,7,4
SUZUKI,1462,105,7,4
SUZUKI,1462,105,7,4
SUZUKI,1462,105,7,4
SUZUKI,1462,105,7,4
SUZUKI,1462,105,7,4
SUZUKI,1490,110,5,4
SUZUKI,1490,110,5,4
SUZUKI,1490,109,5,4
SUZUKI,1490,109,5,4
SUZUKI,1495,105,8,5
SUZUKI,1495,105,8,5
SUZUKI,1495,105,8,5
SUZUKI,1495,105,8,5
SUZUKI,1495,105,7,5
SUZUKI,1328,110,5,3
SUZUKI,1462,102,4,4
SUZUKI,1462,102,4,4
SUZUKI,1462,102,4,4
SUZUKI,1462,102,4,4
SUZUKI,1493,78.8,3,2
SUZUKI,1493,78.8,3,5
SUZUKI,1493,78.8,3,5
SUZUKI,998,68,5,5
SUZUKI,998,68,5,5
SUZUKI,998,68,5,5
SUZUKI,998,68,5,5
TATA,1405,70,2,5
TATA,1405,70,2,5
TATA,1405,70,2,2
TATA,2956,73,2,5
TATA,702,16,2,2
TATA,611,11,2,2
TATA,611,11,2,2
TATA,2179,140,5,4
TOYOTA,1500,73 / 5200,5,4
TOYOTA,1500,109 / 6000,5,4
TOYOTA,1500,109 / 6000,5,4
TOYOTA,1500,109 / 6000,5,4
TOYOTA,1500,109 / 6000,5,4
TOYOTA,1500,109 / 6000,5,4
TOYOTA,1800,151 / 6400,5,4
TOYOTA,1800,151 / 6400,5,4
TOYOTA,1800,151 / 6400,5,4
TOYOTA,1800,151 / 6400,5,4
TOYOTA,2500,181 / 6000,5,4
TOYOTA,2500,181 / 6000,5,4
TOYOTA,2500,156.6 /5700,5,4
TOYOTA,2000,147 / 6.800,5,4
TOYOTA,2000,147 / 6.800,5,4
TOYOTA,2000,147 / 6.800,5,4
TOYOTA,2500,-,5,4
TOYOTA,2459,-,5,4
TOYOTA,2000,147 / 6.800,5,4
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1329,104 / 6000,7,5
TOYOTA,1329,104 / 6000,7,5
TOYOTA,1495,104 / 6000,7,5
TOYOTA,1495,104 / 6000,7,5
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1298,92 / 6000,7,5
TOYOTA,1495,104 / 6000,7,5
TOYOTA,1329,104 / 6000,7,5
TOYOTA,1329,104 / 6000,7,5
TOYOTA,1495,104 / 6000,7,5
TOYOTA,1495,104 / 6000,7,5
TOYOTA,1497,107 / 6000,7,5
TOYOTA,1497,107 / 6000,7,5
TOYOTA,1497,107 / 6000,7,5
TOYOTA,1497,107 / 6000,7,5
TOYOTA,1497,107 / 6000,7,5
TOYOTA,1497,107 / 6000,7,5
TOYOTA,1500,109 / 6000,7,5
TOYOTA,1500,109 / 6000,7,5
TOYOTA,1496,104 / 6000,7,5
TOYOTA,1496,104 / 6000,7,5
TOYOTA,1496,104 / 6000,7,5
TOYOTA,1496,104 / 6000,7,5
TOYOTA,1500,109 / 6000,5,5
TOYOTA,1500,109 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1496,107 / 6000,5,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,2494,102 / 3600,7,5
TOYOTA,2494,102 / 3600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,2494,102 / 3600,7,5
TOYOTA,2494,102 / 3600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,1998,136 / 5600,7,5
TOYOTA,2494,102 / 3600,7,5
TOYOTA,2494,136 / 5600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,1998,102 / 3600,7,5
TOYOTA,2494,102 / 3600,7,5
TOYOTA,2494,102 / 3600,7,5
TOYOTA,2000,158 / 6200,7,5
TOYOTA,2500,170 / 6000,7,5
TOYOTA,2500,170 / 6000,7,5
TOYOTA,2494,170 / 6000,7,5
TOYOTA,2500,170 / 6000,7,5
TOYOTA,2393,163 / 3400,7,5
TOYOTA,1798,141 / 6400,5,5
TOYOTA,1798,141 / 6400,5,5
TOYOTA,1798,141 / 6400,5,5
TOYOTA,1798,141 / 6400,5,5
TOYOTA,1798,141 / 6400,5,5
TOYOTA,0,141 / 6400,5,5
TOYOTA,2494,149.3 / 3400,7,5
TOYOTA,2494,149.3 / 3400,7,5
TOYOTA,2494,149.3 / 3400,7,5
TOYOTA,2393,149.3 / 3400,7,5
TOYOTA,2393,149.3 / 3400,7,5
TOYOTA,2393,149.3 / 3400,7,5
TOYOTA,2393,163 / 3400,7,5
TOYOTA,2500,102 / 3600,16,2
TOYOTA,2694,163 / 3400,7,5
TOYOTA,2694,163 / 3400,7,5
TOYOTA,2694,"160.4 / 5,200",7,5
TOYOTA,2694,163 / 3400,7,5
TOYOTA,2694,163 / 3400,7,5
TOYOTA,2800,102 / 3600,16,4
TOYOTA,3500,170 / 6000,7,5
TOYOTA,2393,149.3 / 3400,7,5
TOYOTA,2393,149.3 / 3400,7,5
TOYOTA,4700,235 / 3200,7,5
TOYOTA,4461,235 / 3200,7,5
TOYOTA,2694,149.3 / 3400,7,5
TOYOTA,2694,149.3 / 3400,7,5
TOYOTA,2394,102 / 3600,2,2
TOYOTA,2000,136 / 5600,2,2
TOYOTA,2394,144 / 3400,4,4
TOYOTA,1000,65.3 / 6000,5,5
TOYOTA,1200,65.3 / 6000,5,5
TOYOTA,1200,65.3 / 6000,5,5
TOYOTA,1200,65.3 / 6000,5,5
TOYOTA,1200,65.3 / 6000,5,5
TOYOTA,998,65.3 / 6000,5,5
TOYOTA,998,65.3 / 6000,5,5
TOYOTA,1197,65.3 / 6000,5,5
TOYOTA,1197,65.3 / 6000,5,5
TOYOTA,1197,65.3 / 6000,5,5
TOYOTA,1197,65.3 / 6000,5,5
TOYOTA,1200,-,7,4
TOYOTA,1200,-,7,4
TOYOTA,1200,-,7,4
TOYOTA,1200,-,7,4
TOYOTA,2394,144 / 3400,4,4
TOYOTA,2394,144 / 3400,4,4
TOYOTA,2394,144 / 3400,4,4
VOLKSWAGEN,1200,-,5,5
VOLKSWAGEN,1400,150,-,5
VOLKSWAGEN,1400,150,-,5
VOLKSWAGEN,1400,150,-,5
VOLKSWAGEN,1400,-,-,5
VOLKSWAGEN,1968,-,7,5
VOLKWAGEN,2000,-,-,5
VOLKWAGEN,3000,240,-,5
WULING,1500,107,-,5
WULING,1500,107,-,5
WULING,1500,107,-,5
WULING,1500,107,-,5
WULING,1500,129,-,5
WULING,1500,129,-,5
WULING,1500,129,-,5
WULING,1500,129,-,5
WULING,1200,107,-,5
WULING,1200,107,-,5
WULING,1500,-,-,5
WULING,1500,-,-,5
WULING,1500,-,-,5
WULING,1500,-,-,5
WULING,1500,-,-,5
